supplier_id,name,type,local_or_online,official_url,google_maps_url,main_items,delivery_available,pickup_available,origin_selectable,min_lot,price_level,season_strength,notes
FRT019,株式会社セビア,業務用青果加工・冷凍フルーツ,オンライン,https://sevia.co.jp/news/,,"冷凍フルーツ・冷凍野菜・フルーツピューレ・カット野菜",配送可,不可,商品次第,業務取引前提,中〜高,通年,"冷凍フルーツ、冷凍野菜、ピューレ、カット野菜の業務用候補。"
FRT020,八面六臂,業務用食材EC,オンライン,https://hachimenroppi.com/,,"野菜・フルーツ・水産・精肉・調味料",高松は要確認,不可,商品ページで確認,商品次第,中〜高,通年,"品揃えは強いが、公式上の主配送エリアは1都3県のため高松利用は優先度低め。"
FRT031,ギフトフルーツ ヤマネ,さぬき讃フルーツマスターショップ,ローカル,,https://www.google.com/maps/search/?api=1&query=ギフトフルーツ ヤマネ 高松市兵庫町1-17,県産果物・贈答用果物,,可,,少量相談,高,旬果物,"高松市兵庫町1-17。電話087-851-3069。10:00-19:00、日曜・月曜定休。県公式では現在営業休止中。"
FRT032,フルーツたかぎ 回生病院前店,さぬき讃フルーツマスターショップ,ローカル,,https://www.google.com/maps/search/?api=1&query=フルーツたかぎ 回生病院前店 坂出市旭町3-1-4,県産果物・高品質フルーツ,,可,,少量相談,高,旬果物,"坂出市旭町3-1-4。電話0877-46-0533。10:00-19:30、日祝19:00まで。不定休。"
FRT033,高松三越 青果コーナー,百貨店青果,ローカル,https://www.mitsukoshi.mistore.jp/takamatsu.html,https://www.google.com/maps/search/?api=1&query=高松三越 高松市内町7-1,さぬき讃フルーツ・高品質果物,,可,,少量可,高,旬果物,"高松市内町7-1。電話087-813-1034。10:00-19:00。不定休。高品質・贈答向き。"
FRT034,いきいき産直 十河店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=いきいき産直 十河店 高松市十川西町298-1,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市十川西町298-1。電話087-848-4783。6:30-16:00、水曜定休、駐車場21台。"
FRT035,いきいき産直 林店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=いきいき産直 林店 高松市林町351-4,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市林町351-4。電話087-865-5685。6:30-16:00、火曜定休、駐車場60台。"
FRT036,グリーンピア岡本,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=グリーンピア岡本 高松市岡本町944,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市岡本町字幸ノ神944。電話087-885-6996。8:30-16:00、水曜定休、駐車場70台。"
FRT037,中央ふれあい市場 本店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 本店 高松市太田上町315-1,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市太田上町315-1。電話087-815-5277。8:30-15:00、季節により変更あり。水曜定休、駐車場40台。"
FRT038,中央ふれあい市場 古高松店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 古高松店 高松市高松町2170-1,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市高松町2170-1。電話087-841-1606。8:30-15:00、季節により変更あり。火曜定休、駐車場60台。"
FRT039,中央ふれあい市場 木太店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 木太店 高松市木太町1669,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市木太町1669。電話080-2996-5641。9:00-15:00、営業日は火・金中心。"
FRT040,国分寺ふれあい産直市,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=国分寺ふれあい産直市 高松市国分寺町新名744-1,地元野菜・果物,,可,,少量可,低〜中,旬果物,"高松市国分寺町新名744-1。電話087-874-1224。8:30-16:00、火曜定休、駐車場25台。"
FRT041,三木とれとれ市,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=三木とれとれ市 木田郡三木町氷上364-1,地元野菜・果物,,可,,少量可,低〜中,旬果物,"木田郡三木町大字氷上364-1。電話087-891-1023。8:00-15:00、水曜定休、駐車場30台。高松東部から利用候補。"
FRT042,ファーマーズマーケット讃さん広場 滝宮店,JA大型産直,ローカル,https://www.kw-ja.or.jp/,https://www.google.com/maps/search/?api=1&query=讃さん広場 滝宮店 綾川町滝宮1578,県内産野菜・果物・加工品,,可,,少量可,低〜中,旬果物,"綾歌郡綾川町滝宮1578。電話087-876-6333。9:00-17:00、火曜定休、普通車150台。大型産直。"
FRT043,河村食品マート,業務配送青果,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=河村食品マート 高松市西ハゼ町27-2,野菜・果物・乾物,可,,,"",中,通年,"高松市西ハゼ町27-2。電話087-865-6823。野菜・果物・乾物などの業務用配達。配達エリアは電話相談。"
FRT044,株式会社グリーンアップル,業務用青果卸,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社グリーンアップル 高松市栗林町1-5-7,青果物,可,,,業務取引相談,中,通年,"高松市栗林町1-5-7。電話087-831-4632。外食産業向け青果候補。"
FRT045,株式会社香川商事,青果卸・小売,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社香川商事 高松市瓦町2-9-8,野菜・果物,可,,,業務取引相談,中,通年,"高松市瓦町2-9-8。電話087-831-2919。業務用青果・卸・小売。"
FRT046,久保田商店,青果店・納品対応,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=久保田商店 高松市扇町1-23-12,野菜・果物,可,,,少量相談,中,通年,"高松市扇町1-23-12。電話087-821-5607。納め・地方配送あり。"
FRT047,森政商店,青果店・卸売小売配達,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=森政商店 高松市上福岡町1280-1,野菜・果物,可,,,少量相談,中,通年,"高松市上福岡町1280-1。電話087-861-7340。卸売・小売・配達あり。"
FRT048,有限会社イズミ,青果・食品配達,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=有限会社イズミ 綾歌郡綾川町羽床上2624-5,野菜・果物・食料品,可,,,業務用相談,中,通年,"綾歌郡綾川町羽床上2624-5。電話087-870-9190。野菜・果物・食料品・業務用配達。"
FRT049,有限会社中美商店,食品店・配送対応,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=有限会社中美商店 高松市香西本町545,野菜・果物・一般食品,可,,,少量相談,中,通年,"高松市香西本町545。電話087-882-0805。電話注文・配送対応。6:30-20:00、日曜定休。"
FRT050,株式会社丸新果物商店,果物店・カフェ併設系,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社丸新果物商店 高松市常磐町1-4-9,果物・生ジュース・ジェラート・サンドイッチ,,可,,少量相談,中〜高,通年,"高松市常磐町1-4-9。電話087-861-5353。果物を使ったカフェテリア型販売の記載あり。"
FRT071,MONIN,業務用シロップ・ソース,オンライン,https://nbkk.co.jp/brand/monin/,,"シロップ・フルーツミックス・グルメソース・フラッペベース",配送可,不可,,商品次第,中〜高,通年,"100種類以上。カフェ・バー・ホテル向け。"
FRT072,MONIN公式ショップ,業務用シロップEC,オンライン,https://shop.nbkk.co.jp/collections/monin,,"700ml業務用シロップ・1Lフルーツミックス・グルメソース",配送可,不可,,商品次第,中〜高,通年,"公式EC。業務用サイズ確認可。"
FRT073,1883 Maison Routin,業務用シロップ,オンライン,https://www.1883-france.jp/,,"自然派シロップ・カフェ/バー向けシロップ",配送可,不可,,商品次第,中〜高,通年,"フランス製。業務用・店舗向け問い合わせ導線あり。"
FRT074,Torani,業務用シロップ・ソース,オンライン,https://toyobeverage.com/torani/,,"シロップ・ソース・スムージーベース",配送可,不可,,商品次第,中〜高,通年,"日本でシロップ59種、ソース3種、スムージーベース7種を展開。"
FRT075,DaVinci Gourmet,業務用シロップ,オンライン,https://loj-dvg.jp/,,"フレーバーシロップ・ドリンク/デザート素材",配送可,不可,,商品次第,中〜高,通年,"業務用卸購入は問い合わせ対応。"
FRT076,キャプテン / 中村商店,業務用シロップ・ジュース,オンライン,https://captain-drink.co.jp/,,"業務用ジュース・シロップ・コーヒー飲料",配送可,不可,,商品次第,中,通年,"小ロットPB対応の記載あり。"
FRT077,FOODBOAT by マルイ物産,業務用ドリンク・スイーツ素材EC,オンライン,https://foodboat.jp/,,"タピオカ・シロップ・フルーツピューレ・ドリンク素材",配送可,不可,,商品次第,中,通年,"飲食店・カフェ向け食材通販。"
FRT078,PROFOODS フルーツパウダー,製菓材料EC,オンライン,https://www.profoods.co.jp/ic/zairyo-1061,,"ストロベリー・ラズベリー・ブルーベリー等フルーツパウダー",配送可,不可,,商品次第,中,通年,"製菓・クリーム・焼菓子・ドリンク装飾向き。"
FRT079,PROFOODS MONIN,製菓材料EC,オンライン,https://www.profoods.co.jp/ic/zairyo-2023,,"MONINシロップ",配送可,不可,,商品次第,中,通年,"製菓材料店経由でMONIN調達可。"
FRT080,アミカネットショップ,業務用食材EC,オンライン,https://www.amicashop.com/products/list?category_id=360,,"フルーツソース・ピューレ・冷凍商品",配送可,不可,,商品次第,中,通年,"QP/スノーマン、マルイ物産などのフルーツソース・ピューレカテゴリあり。"
FRT081,フーヅフリッジ 冷凍フルーツ,業務用食材EC,オンライン,https://foodsfridge.jp/collections/vegetable5,,"冷凍フルーツ・缶詰・フルーツソース・ペースト",配送可,不可,,商品次第,中,通年,"ベリー・マンゴー・みかん・パイン・桃など。"
FRT082,インフォマート 冷凍フルーツ,業務用BtoB,オンライン,https://foodsinfomart.com/buy/product/food/?category-big=%E9%9D%92%E6%9E%9C%E7%89%A9%E5%8A%A0%E5%B7%A5%E5%93%81&category-medium=%E5%86%B7%E5%87%8D%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84,,"冷凍フルーツ・青果物加工品",配送可,不可,,商品次第,中,通年,"BtoB食材調達候補。"
FRT083,大京食品 フルーツソース,業務用フルーツソース,オンライン,https://www.dfc-net.co.jp/bussiness/item05.html,,"フルーツソース・フルーツピューレ",配送可,不可,,業務取引前提,中,通年,"業務用製品としてフルーツソースを掲載。"
FRT084,Agriture,国産ドライフルーツ・パウダー/OEM,オンライン,https://genryoubank.com/products/7350,,"国産ドライフルーツ・フリーズドライ・パウダー・OEM",配送可,不可,,小ロット相談,中〜高,通年,"フリーズドライいちご、スライス、ダイス、パウダー等。"
FRT085,Agriture 業務用フルーツパウダー,業務用フルーツパウダー,オンライン,https://agriture.jp/oem/fruit-powder-bulk/,,"果物パウダー・乾燥素材・OEM",配送可,不可,,要確認,中〜高,通年,"製菓・飲料・スムージー・乳製品向け。"
FRT086,NORUCA 冷凍フルーツ,国産冷凍フルーツ,オンライン,https://noruca.com/products/frozenfruits/frozenfriuts.html,,"国産冷凍フルーツ・カットフルーツ",配送可,不可,産地/品種相談可,小ロット相談,中〜高,通年,"産地指定、品種、小ロット出荷に対応と記載。"
FRT087,NORUCA フルーツピューレ,国産フルーツピューレ,オンライン,https://noruca.com/products/puree/friut-puree.html,,"国産フルーツピューレ",配送可,不可,品種相談可,要確認,中〜高,通年,"香料・着色料不使用。国内製造。"
FRT088,株式会社アスク,冷凍フルーツ・OEM,オンライン,https://www.asc.co.jp/,,"冷凍フルーツ・ダイスカット・チャンク・ピューレ・OEM",配送可,不可,商品次第,小分け/バルク可,中〜高,通年,"フードサービス、PB/OEM、メーカー向け対応。"
FRT089,シモジマ MONIN,包材/業務用シロップEC,オンライン,https://shimojima.jp/shop/c/c25140401/,,"MONIN業務用シロップ・包材",配送可,不可,,商品次第,中,通年,"シロップと包材を同時調達できる可能性あり。"
FRT090,第一エフ・エル,シロップ輸入販売EC,オンライン,https://www.daiichifl.com/,,"Torani・DaVinci等シロップ",配送可,不可,,商品次第,中,通年,"トラーニ、ダヴィンチなどカフェ向けシロップ調達候補。"
