article_id,賃料,敷金 / 保証金,交通,所在地,築年月,その他交通,物件種目,敷金/保証金,敷引,その他一時金,維持費等,権利金,建物名・部屋番号,特記事項,設備,備考,使用部分面積,土地面積,建階/ 階,駐車場,駐輪場,用途地域,契約期間,条件等,更新料,物件番号,情報公開日,飲食店可否,適格請求書発行,リフォーム履歴,リノベーション履歴
56d5429b9732ec2933001454,19.8万円,3ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩5分,香川県高松市瓦町１丁目,1975年8月(築50年11ヶ月),-,貸店舗（一部）,3ヶ月/なし,なし,-,-,-,向山ビル２Ｆ 2F,-,エアコン２台以上　都市ガス,保証金なし,75.60㎡,-,地上4階地下1階建/2階,-,-,-,2年,-,-,6959766179,2026/02/09,不明,,,
57aa80db9732ec15a177a0ec,83.13万円,6ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩1分,香川県高松市瓦町２丁目,1997年4月(築29年3ヶ月),高松琴平電鉄長尾線 / 瓦町駅 徒歩1分 高松琴平電鉄志度線 / 瓦町駅 徒歩1分,貸店舗（一部）,6ヶ月/なし,-,-,-,-,瓦町スクエアビルド ５階,-,エレベーター,主要採光面：南西向き ★現況：スケルトン／敷金応相談／駅前立地 ★駅前商業ビル／１階ドラッグストア・地階ライブハウス営業中／他階居酒屋・カラオケ 店・美容外科等営業中,458.03㎡,-,地上7階地下1階建/5階,-,-,-,2年,-,-,6961044952,2025/12/18,不明,,,
57bea8c1d032a747f63ded79,6.6万円,3ヶ月/なし,高松琴平電鉄長尾線 / 花園駅 徒歩6分 [バス利用可] バス 市総合福祉会館前 停歩4分,香川県高松市花園町２丁目,1979年10月(築46年9ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,-,-,トイレ,原状貸し,35.29㎡,-,3階建/1階,なし,-,-,2年,-,-,6961134783,2026/05/02,不明,,,
58bf9517e5a69c0e2c12e0ed,25万円,3ヶ月/なし,高松琴平電鉄長尾線 / 水田駅 徒歩5分,香川県高松市六条町,2003年4月(築23年3ヶ月),高松琴平電鉄長尾線 / 元山駅 徒歩15分 高松琴平電鉄長尾線 / 西前田駅 徒歩20分,貸店舗（一括）,3ヶ月/なし,-,-,-,-,-,居抜き　飲食店可　デザイナーズ,男女別トイレ　オープンキッチン　収納スペース　バス・トイレ別室　シャワー　プロパンガス　ビルトインエアコン　トイレ２ヶ所　トイレ,主要採光面：南西向き ★現況：空き店舗／和食店「六条食房ふぅ」跡（居抜き）／随時内覧可 ★厨房機器等⇒残置物あり／駐車場⇒約１０台分あり／敷地約 １００坪あり,182.38㎡,公簿 332.09㎡,2階建,有　無料　空き10台,-,準住居　１種住居,3年,-,-,6962665401,2017/03/08,可,,,
590a7804e5a69c3b10d8431f,8万円,1ヶ月/なし,【バス】 香川第一中学校前 停歩1分,香川県高松市香川町浅野,1973年7月(築53年),-,貸店舗（一部）,1ヶ月/なし,なし,-,-,-,香川町浅野貸店舗 1階店舗,飲食店不可　都道府県道沿いに面する,トイレ,賃貸保証等：加入要 初回保証委託料８．０万円・次年度より継続保証委託料年間１万円 主要採光面：南向き 出入りがしやすく、よく目立つ店舗です。賃貸 スペースは１階です。 トイレ、洗面所あり。駐車場共用使用複数台。 賃料には水道料金含む。,70.00㎡,公簿 171.90㎡,2階建/1階,有　無料　空き4台　　備考：建物北側に駐車スペース有り。,-,-,3年,-,なし,6963123003,2026/01/06,不可,可,,
59d30e12e5a69c6ccf3e274c,26.4万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩10分,香川県高松市鍛冶屋町,1988年1月(築38年6ヶ月),高松琴平電鉄琴平線 / 片原町駅 徒歩10分 ＪＲ高徳線 / 高松駅 徒歩14分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,3Ｆ,飲食店可,都市ガス　エアコン　トイレ,賃貸保証等：加入要 全保連（株）初回保障委託料　賃料・共益費の８０％　２年目以降　賃料・共益費の１０％／年,124.23㎡,-,6階建/3階,なし,なし,商業地域,3年,-,-,6964215955,2026/05/15,可,,,
5a5c0b969732ec2c56db5cf7,7.7万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエアービル第２ 7-A,居抜き　飲食店可　最上階,冷蔵庫　エレベーター　都市ガス　エアコン　トイレ,保証金不要！,41.50㎡,-,7階建/7階,-,-,-,2年,-,-,6964880237,2026/03/19,可,,,
5ae18c079732ec4a1d17c2d6,3.96万円,2ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩5分,香川県高松市瓦町２丁目,1984年10月(築41年9ヶ月),-,貸店舗（一部）,2ヶ月/なし,-,-,-,-,クイ－ンズスケア第一 ５階Ｇ,飲食店可,-,賃貸保証等：加入要 全保連・興和アシスト　プラン有,21.07㎡,-,6階建/5階,なし,-,-,2年,-,-,6965673749,2025/01/10,可,,,
5af17282e5a69c474d30150d,8.8万円,3ヶ月/なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩12分,香川県高松市香川町寺井,1986年11月(築39年8ヶ月),高松琴平電鉄琴平線 / 一宮駅 徒歩25分 高松琴平電鉄琴平線 / 仏生山駅 徒歩24分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,-,居抜き　24時間利用可　土曜日利用可　土日・祝日利用可　飲食店可,オープンキッチン　給湯　プロパンガス　エアコン　火災警報器（報知機）　トイレ,賃貸保証等：加入要 ㈱Ｃａｓａ　初回保証委託料　賃料の８０％　２年目以降１０，０００円／年,63.44㎡,-,2階建/1階,"有　5,000円/月　　備考：敷地内の駐車場については台数は相談に応じます。",なし,-,3年,-,-,6965746966,2024/11/30,可,,,
5b432f98d032a70dc813f561,22万円,3ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩4分,香川県高松市瓦町１丁目,1976年10月(築49年9ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,京都興産ビル 3F,飲食店可,エレベーター　トイレ,礼金・保証金不要！,116.86㎡,-,6階建/3階,-,-,-,2年,-,-,6966181154,2026/02/05,可,,,
5b433431e5a69c481006210e,16.5万円,3ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩4分,香川県高松市瓦町１丁目,1976年10月(築49年9ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,京都興産ビル ５F,飲食店可　最上階,男女別トイレ　エレベーター　トイレ２ヶ所,,116.86㎡,-,6階建/5階,-,-,-,2年,-,-,6966181276,2026/02/05,可,,,
5bf219fbe5a69c28beb84613,7.7万円,1ヶ月/なし,【バス】 田中 停歩1分,香川県高松市成合町,1991年10月(築34年9ヶ月),-,貸店舗・事務所(一部),1ヶ月/なし,-,-,"ゴミ処理：1,000円/月",-,新井ビル 200,飲食店不可,トイレ,賃貸保証等：加入要 興和アシスト・全保連・Ｊリースプラン有,66.54㎡,-,2階建/2階,有　無料　　備考：２台込・３台目から１台につき￥４，０００,-,-,2年,-,-,6967043090,2025/09/08,不可,,,
5bf21f5ce5a69c7914b84609,5.5万円,15.00万円/なし,【バス】 田中 停歩1分,香川県高松市成合町,1991年10月(築34年9ヶ月),-,貸店舗・事務所(一部),15.00万円/なし,-,-,"ゴミ処理：1,000円/月",-,新井ビル 204,飲食店不可,トイレ,賃貸保証等：加入要 賃料の８０％ 令和８年１月１日～ ゴミ処理１，０００円 駐車場追加１台４，０００円 保証会社加入,49.59㎡,-,2階建/2階,有　無料　　備考：２台込,-,-,2年,-,-,6967043253,2025/12/12,不可,,,
5c34354ad032a77cf332d8cd,5.5万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),高松琴平電鉄志度線 / 瓦町駅 徒歩5分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエアービル第２ 6-C,飲食店可　保証人不要,収納スペース　エレベーター　都市ガス,,29.55㎡,-,7階建/6階,-,-,-,2年,-,-,6967349694,2026/02/06,可,,,
5c62452d9732ec08c6b7f9a3,19.8万円,3ヶ月/なし,ＪＲ予讃線 / 香西駅 徒歩10分,香川県高松市香西東町,1976年1月(築50年6ヶ月),-,貸店舗（一括）,3ヶ月/なし,-,-,-,-,香西貸店舗,-,エアコン　トイレ,賃貸保証等：加入要 全保連株式会社 倉庫付き店舗です。,187.74㎡,-,2階建/1階,有　無料,-,-,2年,-,-,6967628237,2025/07/13,不明,,,
5c822221d032a71c6cedffdc,20.9万円,なし/なし,ＪＲ高徳線 / 高松駅 徒歩14分,香川県高松市大工町,1991年4月(築35年3ヶ月),ＪＲ予讃線 / 高松駅 徒歩15分 高松琴平電鉄琴平線 / 片原町駅 徒歩5分,貸店舗・事務所(一部),なし/なし,-,-,-,-,ガーデンコート高松 401,１フロア１テナント,エレベーター　エアコン　トイレ２ヶ所　トイレ,賃貸保証等：加入要 全保連　日本セーフティー エアコン新設・エレベーター 保証会社要　諸条件相談可 入町料　（１０，０００円）　商店街賦課金　（１ １，４６８円／月）あり。,124.89㎡,-,5階建/4階,なし,なし,-,1年,-,-,6967146958,2026/02/21,不明,,,
5cc0ee5cd032a771437daaf9,7万円,3ヶ月/なし,高松琴平電鉄長尾線 / 花園駅 徒歩4分,香川県高松市花園町１丁目,1989年5月(築37年2ヶ月),ＪＲ高徳線 / 栗林駅 徒歩11分 高松琴平電鉄長尾線 / 瓦町駅 徒歩10分,貸店舗（一部）,3ヶ月/なし,なし,-,-,-,-,-,エレベーター　給湯　都市ガス　エアコン　トイレ,賃貸保証等：加入要 初回保証委託料として月額賃料の８０％、年間保証委託料として月額賃料の１０％ 主要採光面：北向き 保険は賃借人にて加入 共用部分 にトイレ・給湯室有り,39.52㎡,公簿 177.65㎡,5階建/2階,なし,なし,-,2年,-,なし,6968155638,2022/06/27,不明,,,
5ce350d0e5a69c2656af61c7,24.2万円,6ヶ月/なし,高松琴平電鉄長尾線 / 水田駅 徒歩7分,香川県高松市東山崎町,1996年10月(築29年9ヶ月),-,貸店舗・事務所(一括),6ヶ月/なし,-,-,-,-,-,-,エアコン,,141.60㎡,-,1階建,有　無料　空き3台,-,-,2年,-,-,6968303299,2026/06/11,不明,,,
5ecf6e6730c1427032fc12e9,19.8万円,54.00万円/なし,ＪＲ予讃線 / 香西駅 徒歩15分 [バス利用可] バス 香西新橋 停歩4分,香川県高松市香西南町,1991年3月(築35年4ヶ月),-,貸店舗（一部）,54.00万円/なし,-,-,-,-,アビタシオンＮＹＫ 1F南,土曜日利用可　土日・祝日利用可　角部屋　天井高２.５ｍ以上,プロパンガス　エアコン　トイレ,賃貸保証等：加入要 全保連株式会社　初回保証料→月額賃金の１００％、継続保証委託料→月額賃料の１０％／年 主要採光面：東向き ＊当社公式Ｙｏｕｔ ｕｂｅチャンネルにて、室内の動画を公開しております。ぜひご覧ください！,182.25㎡,-,2階建/1階,有　無料　空き4台　　備考：駐車料金賃料に含む,-,-,2年,-,-,6970887489,2025/04/01,不明,,,
5fc8918dcab5463d5a2e7e1a,7.15万円,6ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩7分,香川県高松市古馬場町,1956年1月(築70年6ヶ月),-,貸店舗（一部）,6ヶ月/なし,-,-,-,-,小林店舗 １階　東,飲食店可,トイレ,賃貸保証等：加入要 興和アシスト、全保連　等 騒音がする業種は不可。,18.90㎡,-,2階建/1階,-,-,-,2年,-,-,6972303099,2026/06/15,可,,,
5ff50ad7298a4d3b7e2e7212,9.9万円,6ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩7分,香川県高松市塩上町３丁目,1995年10月(築30年9ヶ月),-,貸店舗・事務所(一部),6ヶ月/なし,-,-,-,-,クリエイトビル 4Ｆ,飲食店不可,-,,71.77㎡,-,5階建/4～5階,-,-,-,2年,-,-,6972522109,2026/03/24,不可,,,
60236530f54ec10a84ccca1f,11万円,2ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩6分,香川県高松市古馬場町,1991年10月(築34年9ヶ月),-,貸店舗（一部）,2ヶ月/なし,-,-,-,-,ソリッド 4D,飲食店可,-,賃貸保証等：加入要 興和アシスト・全保連　プラン有 カラオケ業者指定有,42.08㎡,-,7階建/4階,なし,なし,-,2年,-,-,6972816432,2025/09/08,可,,,
6052fa256962487ccb19b993,15.4万円,3ヶ月/なし,ＪＲ高徳線 / 昭和町駅 徒歩18分,香川県高松市新北町,2007年1月(築19年6ヶ月),-,貸店舗・事務所(一部),3ヶ月/なし,-,-,-,-,-,飲食店不可,エアコン２台以上　ビルトインエアコン　エアコン,賃貸保証等：加入要 興和アシスト㈱へ加入要 駐車場４台が付いております。,71.87㎡,71.87㎡,1階建/1階,有　無料　空き4台,-,準工業,3年,-,なし,6973121092,2025/09/01,不可,,,
6052fa6fadffbc51ad7e043f,6万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩7分,香川県高松市東田町,1980年10月(築45年9ヶ月),ＪＲ高徳線 / 栗林駅 徒歩11分,貸店舗・事務所(一部),3ヶ月/なし,-,-,"水道代：2,000円/月",-,201・202,飲食店不可　リフォーム,エアコン２台以上　バス・トイレ別室　室内洗濯機置場　シャワー　都市ガス　トイレ,賃貸保証等：加入要 興和アシスト㈱へ加入要 バルコニー：あり 主要採光面：南向き 貸店舗・貸事務所・居住用と多様することができる物件となっておりま す。,50.00㎡,-,4階建/2階,"有　13,000円/月",有　無料,-,2年,-,なし,6973121407,2026/05/08,不可,,■水回り：2020年11月　キッチン ■内装：2020年11月　床（フローリング等）　壁・天井（クロス・塗装等） ■外装：2020年11月　外壁　屋根 ■共用部の大規模修繕工事：2020年11月　　外壁、階段塗装や爆裂部分の補修、バルコニー床面、屋上の防水工事等の大規模修繕工事を実施致しました。,
60743b77298a4d7ba61a7822,55万円,3ヶ月/なし,高松琴平電鉄琴平線 / 伏石駅 徒歩17分,香川県高松市上天神町,1979年8月(築46年11ヶ月),高松琴平電鉄琴平線 / 太田駅 徒歩24分 高松琴平電鉄琴平線 / 三条駅 徒歩27分,貸店舗・事務所(一部),3ヶ月/なし,-,-,-,-,オフィスビルいずみ,24時間セキュリティー,男女別トイレ　エレベーター　給湯　プロパンガス　トイレ,,584.00㎡,-,3階建/1～3階,"有　5,500円/月　　備考：駐車場５台まで無料　６台目以降は￥５，５００／月",有　無料,-,2年,-,なし,6973327672,2022/09/06,不明,,,
60bdd67067528231e3404a78,20.9万円,なし/なし,ＪＲ高徳線 / 高松駅 徒歩14分,香川県高松市大工町,1991年4月(築35年3ヶ月),ＪＲ予讃線 / 高松駅 徒歩15分 高松琴平電鉄琴平線 / 片原町駅 徒歩5分,貸店舗・事務所(一部),なし/なし,-,-,-,-,ガーデンコート高松 501,-,エレベーター　シャワー　エアコン　トイレ,賃貸保証等：加入要 全保連　日本セーフティー エアコン新設・エレベーター 保証会社要,123.09㎡,-,5階建/5階,なし,-,-,1年,-,-,6973745546,2025/05/12,不明,,,
624cf5c1655be9215e0d7ed0,8.5万円,3ヶ月/なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩12分,香川県高松市香川町寺井,1986年11月(築39年8ヶ月),高松琴平電鉄琴平線 / 一宮駅 徒歩25分 高松琴平電鉄琴平線 / 仏生山駅 徒歩24分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,-,居抜き　24時間利用可　土曜日利用可　土日・祝日利用可　飲食店不可　最上階,オープンキッチン　シャワー　プロパンガス　火災警報器（報知機）　トイレ,賃貸保証等：加入要 全保連㈱　初回保証委託料　賃料の８０％　２年目以降１０，０００円／年 別途月極駐車場があります。２５，０００円／５台。,71.01㎡,-,2階建/2階,有　無料,なし,-,3年,-,-,6976041170,2023/12/28,不可,,,
630eb9d1635f952635393cad,12.75万円,なし/なし,高松琴平電鉄琴平線 / 高松築港駅 徒歩12分,香川県高松市西内町,1992年10月(築33年9ヶ月),-,貸店舗（一部）,なし/なし,-,-,-,-,西内町貸事務所　１階,-,都市ガス,・入居審査有 ・現況設備を使用してほしい、撤去したい場合は要相談 ・電気代別途請求,53.21㎡,公簿 214.00㎡,3階建/1階,"有　15,000円/月",-,商業地域,2年,-,-,6977125922,2025/11/10,不明,,,
63d8a4e80cccef06e5316d54,27.5万円,3ヶ月/なし,ＪＲ高徳線 / 昭和町駅 徒歩13分,香川県高松市番町３丁目,1978年2月(築48年5ヶ月),ＪＲ高徳線 / 高松駅 徒歩14分 ＪＲ予讃線 / 高松駅 徒歩14分,貸店舗・事務所(一部),3ヶ月/なし,-,-,"電気基本料金：24,200円/月、　水道料金：2,200円/月、　ガス料金：550円/月",-,プレシャス番町ビル（第一讃機ビル） 2F南東コスモス,有人警備　飲食店不可　駐車場３台分以上　24時間セキュリティー　耐震構造(新耐震基準),男女別トイレ　宅配ＢＯＸ　エレベーター　給湯　エアコン　火災警報器（報知機）　トイレ,主要採光面：南向き 部屋が広い場合については２つに分けることもできます。,169.00㎡,-,地上6階地下1階建/5階,"有　16,500円/月　空き3台",有　無料,近隣商業,2年,-,なし,6978316899,2025/08/22,不可,可,,
63d8b7d3f47768688d0d5cfc,16.5万円,3ヶ月/なし,ＪＲ高徳線 / 昭和町駅 徒歩13分,香川県高松市番町３丁目,1978年2月(築48年5ヶ月),ＪＲ高徳線 / 高松駅 徒歩14分 ＪＲ予讃線 / 高松駅 徒歩14分,貸店舗・事務所(一部),3ヶ月/なし,-,-,"電気基本料金：17,600円/月、　水道料金：2,200円/月、　ガス料金：550円/月",-,プレシャス番町ビル（第一讃機ビル） 4 F北東ｶｰﾈｰｼｮﾝ,有人警備　24時間セキュリティー,男女別トイレ　宅配ＢＯＸ　エレベーター　エアコン　火災警報器（報知機）　トイレ,契約期間要相談（１年契約も相談可能）,86.88㎡,-,地上6階地下1階建/4階,"有　16,500円/月",有　無料,近隣商業,2年,-,-,6978318108,2025/08/22,不明,可,,
63e5b0fba4cf3a687b612ebf,11万円,2ヶ月/なし,仏生山駅,香川県高松市香川町川東下,1991年2月(築35年5ヶ月),-,貸店舗（一部）,2ヶ月/なし,-,-,-,-,-,-,-,,103.78㎡,-,3階建/1階,-,-,-,2年,-,-,6978402922,2025/10/29,不明,,,
63e7433dd93d1c3663901541,33万円,20.00万円/なし,高松琴平電鉄琴平線 / 片原町駅 徒歩5分,香川県高松市大工町,1991年4月(築35年3ヶ月),高松琴平電鉄志度線 / 瓦町駅 徒歩10分 ＪＲ高徳線 / 高松駅 徒歩14分,貸店舗（一部）,20.00万円/なし,-,-,-,-,ガーデンコート高松 2F,24時間利用可　土曜日利用可　土日・祝日利用可　飲食店可　１フロア１テナント　角部屋　保証人不要,エアコン２台以上　収納スペース　エレベーター　都市ガス　ビルトインエアコン　エアコン　トイレ,賃貸保証等：加入要 相談可 ２Ｆは約８１．９８㎡、３Ｆは約４２．９７㎡、条件等相談可能 入町料　（１０，０００円）　商店街賦課金（１１，４６８円 ）あり。,199.51㎡,-,地上5階地下2階建/2～3階,-,なし,-,1年,-,-,6978415413,2023/02/11,可,,,
640d66da94d1b8330da06dcb,8万円,1ヶ月/なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩26分,香川県高松市香川町大野,1983年10月(築42年9ヶ月),-,貸住付店舗（一部）,1ヶ月/なし,-,-,-,-,漆原テナント・事務所,飲食店不可,バス・トイレ別室　室内洗濯機置場　洗濯機置場　プロパンガス,賃貸保証等：加入要 全保連（初回：賃料総額の１００％） バルコニー：5.46㎡ 主要採光面：南向き ★１Ｆはテナント。２階は住居・社宅など可能。他 、倉庫などにも利用可能です♪ ★敷地内駐車２台可能です ★初期費用・店舗改装費などご遠慮なくご相談ください♪,85.20㎡,-,3階建/1階,有　無料,-,-,2年,-,-,6978660991,2023/03/12,不可,,,
640e8a8741708e129e914078,20万円,3ヶ月/なし,ＪＲ高徳線 / 栗林公園北口駅 徒歩9分,香川県高松市亀岡町,1965年2月(築61年5ヶ月),高松琴平電鉄琴平線 / 瓦町駅 徒歩14分,貸店舗・事務所(一部),3ヶ月/なし,-,-,-,-,2F,飲食店不可　フリーレント,男女別トイレ　エレベーター　給湯　都市ガス　エアコン　トイレ,主要採光面：北向き フリーレント：2ヶ月,99.56㎡,-,5階建/2階,"有　20,000円/月　空き1台",-,-,3年,-,なし,6978666681,2025/10/11,不可,,,
642fa6da77270d5cba271843,14.3万円,3ヶ月/なし,ＪＲ高徳線 / 栗林公園北口駅 徒歩11分,香川県高松市天神前,1963年6月(築63年1ヶ月),高松琴平電鉄琴平線 / 瓦町駅 徒歩11分 ＪＲ高徳線 / 高松駅 徒歩16分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,-,-,バス・トイレ別室,賃貸保証等：加入要 全保連保証初回１００％ 近隣、コインパーキングあります。,56.00㎡,-,3階建/1階,なし,なし,-,3年,-,なし,6978864991,2026/03/23,不明,,,
646306e9202916104aaa82a9,12万円,3ヶ月/なし,高松琴平電鉄琴平線 / 栗林公園駅 徒歩10分,香川県高松市花ノ宮町３丁目,1980年1月(築46年6ヶ月),高松琴平電鉄琴平線 / 三条駅 徒歩12分 ＪＲ高徳線 / 栗林駅 徒歩15分,貸店舗（一部）,3ヶ月/なし,なし,-,"水道代：4,000円/月",-,-,１フロア１テナント　角部屋　最上階,給湯　トイレ,賃貸保証等：加入要 初回６０，０００円、保証委託料１０，０００円／年 主要採光面：北向き,85.95㎡,-,3階建/3階,なし,-,-,2年,-,1.10万円,6979140196,2025/11/20,不明,,,
