supplier_id,name,type,local_or_online,official_url,google_maps_url,main_items,delivery_available,pickup_available,notes,source_category,product_tags,fruit_tags,coffee_tags,dairy_tags,tea_tags,syrup_tags,powder_tags,cup_tags,container_tags,packaging_tags,cleaning_tags,machine_tags,ice_tags,other_tags,strength_tags,order_methods,minimum_order,minimum_amount,delivery_area,delivery_days,payment_methods,business_hours,closed_days,target_customers,last_verified,source_url,info_confidence,research_status,notes_research
FRT039,中央ふれあい市場 木太店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 木太店 高松市木太町1669,地元野菜・果物,,可,高松市木太町1669。電話080-2996-5641。9:00-15:00、営業日は火・金中心。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT040,国分寺ふれあい産直市,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=国分寺ふれあい産直市 高松市国分寺町新名744-1,地元野菜・果物,,可,高松市国分寺町新名744-1。電話087-874-1224。8:30-16:00、火曜定休、駐車場25台。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT041,三木とれとれ市,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=三木とれとれ市 木田郡三木町氷上364-1,地元野菜・果物,,可,木田郡三木町大字氷上364-1。電話087-891-1023。8:00-15:00、水曜定休、駐車場30台。高松東部から利用候補。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT042,ファーマーズマーケット讃さん広場 滝宮店,JA大型産直,ローカル,https://www.kw-ja.or.jp/,https://www.google.com/maps/search/?api=1&query=讃さん広場 滝宮店 綾川町滝宮1578,県内産野菜・果物・加工品,,可,綾歌郡綾川町滝宮1578。電話087-876-6333。9:00-17:00、火曜定休、普通車150台。大型産直。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT043,河村食品マート,業務配送青果,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=河村食品マート 高松市西ハゼ町27-2,野菜・果物・乾物,可,,高松市西ハゼ町27-2。電話087-865-6823。野菜・果物・乾物などの業務用配達。配達エリアは電話相談。,fruit,,,,,,,,,,,,,,,通年,,,,,,,,,,,,,,中
FRT044,株式会社グリーンアップル,業務用青果卸,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社グリーンアップル 高松市栗林町1-5-7,青果物,可,,高松市栗林町1-5-7。電話087-831-4632。外食産業向け青果候補。,fruit,,,,,,,,,,,,,,,通年,,業務取引相談,,,,,,,,,,,,中
FRT045,株式会社香川商事,青果卸・小売,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社香川商事 高松市瓦町2-9-8,野菜・果物,可,,高松市瓦町2-9-8。電話087-831-2919。業務用青果・卸・小売。,fruit,,,,,,,,,,,,,,,通年,,業務取引相談,,,,,,,,,,,,中
FRT046,久保田商店,青果店・納品対応,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=久保田商店 高松市扇町1-23-12,野菜・果物,可,,高松市扇町1-23-12。電話087-821-5607。納め・地方配送あり。,fruit,,,,,,,,,,,,,,,通年,,少量相談,,,,,,,,,,,,中
FRT047,森政商店,青果店・卸売小売配達,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=森政商店 高松市上福岡町1280-1,野菜・果物,可,,高松市上福岡町1280-1。電話087-861-7340。卸売・小売・配達あり。,fruit,,,,,,,,,,,,,,,通年,,少量相談,,,,,,,,,,,,中
FRT048,有限会社イズミ,青果・食品配達,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=有限会社イズミ 綾歌郡綾川町羽床上2624-5,野菜・果物・食料品,可,,綾歌郡綾川町羽床上2624-5。電話087-870-9190。野菜・果物・食料品・業務用配達。,fruit,,,,,,,,,,,,,,,通年,,業務用相談,,,,,,,,,,,,中
FRT049,有限会社中美商店,食品店・配送対応,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=有限会社中美商店 高松市香西本町545,野菜・果物・一般食品,可,,高松市香西本町545。電話087-882-0805。電話注文・配送対応。6:30-20:00、日曜定休。,fruit,,,,,,,,,,,,,,,通年,,少量相談,,,,,,,,,,,,中
FRT050,株式会社丸新果物商店,果物店・カフェ併設系,ローカル,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社丸新果物商店 高松市常磐町1-4-9,果物・生ジュース・ジェラート・サンドイッチ,,可,高松市常磐町1-4-9。電話087-861-5353。果物を使ったカフェテリア型販売の記載あり。,fruit,,,,,,,,,,,,,,,通年,,少量相談,,,,,,,,,,,,中〜高
FRT071,MONIN,業務用シロップ・ソース,オンライン,https://nbkk.co.jp/brand/monin/,,シロップ・フルーツミックス・グルメソース・フラッペベース,配送可,不可,100種類以上。カフェ・バー・ホテル向け。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT072,MONIN公式ショップ,業務用シロップEC,オンライン,https://shop.nbkk.co.jp/collections/monin,,700ml業務用シロップ・1Lフルーツミックス・グルメソース,配送可,不可,公式EC。業務用サイズ確認可。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT073,1883 Maison Routin,業務用シロップ,オンライン,https://www.1883-france.jp/,,自然派シロップ・カフェ/バー向けシロップ,配送可,不可,フランス製。業務用・店舗向け問い合わせ導線あり。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT074,Torani,業務用シロップ・ソース,オンライン,https://toyobeverage.com/torani/,,シロップ・ソース・スムージーベース,配送可,不可,日本でシロップ59種、ソース3種、スムージーベース7種を展開。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT075,DaVinci Gourmet,業務用シロップ,オンライン,https://loj-dvg.jp/,,フレーバーシロップ・ドリンク/デザート素材,配送可,不可,業務用卸購入は問い合わせ対応。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT076,キャプテン / 中村商店,業務用シロップ・ジュース,オンライン,https://captain-drink.co.jp/,,業務用ジュース・シロップ・コーヒー飲料,配送可,不可,小ロットPB対応の記載あり。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT077,FOODBOAT by マルイ物産,業務用ドリンク・スイーツ素材EC,オンライン,https://foodboat.jp/,,タピオカ・シロップ・フルーツピューレ・ドリンク素材,配送可,不可,飲食店・カフェ向け食材通販。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT078,PROFOODS フルーツパウダー,製菓材料EC,オンライン,https://www.profoods.co.jp/ic/zairyo-1061,,ストロベリー・ラズベリー・ブルーベリー等フルーツパウダー,配送可,不可,製菓・クリーム・焼菓子・ドリンク装飾向き。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT079,PROFOODS MONIN,製菓材料EC,オンライン,https://www.profoods.co.jp/ic/zairyo-2023,,MONINシロップ,配送可,不可,製菓材料店経由でMONIN調達可。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT080,アミカネットショップ,業務用食材EC,オンライン,https://www.amicashop.com/products/list?category_id=360,,フルーツソース・ピューレ・冷凍商品,配送可,不可,QP/スノーマン、マルイ物産などのフルーツソース・ピューレカテゴリあり。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT081,フーヅフリッジ 冷凍フルーツ,業務用食材EC,オンライン,https://foodsfridge.jp/collections/vegetable5,,冷凍フルーツ・缶詰・フルーツソース・ペースト,配送可,不可,ベリー・マンゴー・みかん・パイン・桃など。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT082,インフォマート 冷凍フルーツ,業務用BtoB,オンライン,https://foodsinfomart.com/buy/product/food/?category-big=%E9%9D%92%E6%9E%9C%E7%89%A9%E5%8A%A0%E5%B7%A5%E5%93%81&category-medium=%E5%86%B7%E5%87%8D%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84,,冷凍フルーツ・青果物加工品,配送可,不可,BtoB食材調達候補。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT083,大京食品 フルーツソース,業務用フルーツソース,オンライン,https://www.dfc-net.co.jp/bussiness/item05.html,,フルーツソース・フルーツピューレ,配送可,不可,業務用製品としてフルーツソースを掲載。,fruit,,,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中
FRT084,Agriture,国産ドライフルーツ・パウダー/OEM,オンライン,https://genryoubank.com/products/7350,,国産ドライフルーツ・フリーズドライ・パウダー・OEM,配送可,不可,フリーズドライいちご、スライス、ダイス、パウダー等。,fruit,,,,,,,,,,,,,,,通年,,小ロット相談,,,,,,,,,,,,中〜高
FRT085,Agriture 業務用フルーツパウダー,業務用フルーツパウダー,オンライン,https://agriture.jp/oem/fruit-powder-bulk/,,果物パウダー・乾燥素材・OEM,配送可,不可,製菓・飲料・スムージー・乳製品向け。,fruit,,,,,,,,,,,,,,,通年,,要確認,,,,,,,,,,,,中〜高
FRT086,NORUCA 冷凍フルーツ,国産冷凍フルーツ,オンライン,https://noruca.com/products/frozenfruits/frozenfriuts.html,,国産冷凍フルーツ・カットフルーツ,配送可,不可,産地指定、品種、小ロット出荷に対応と記載。,fruit,,産地/品種相談可,,,,,,,,,,,,,通年,,小ロット相談,,,,,,,,,,,,中〜高
FRT087,NORUCA フルーツピューレ,国産フルーツピューレ,オンライン,https://noruca.com/products/puree/friut-puree.html,,国産フルーツピューレ,配送可,不可,香料・着色料不使用。国内製造。,fruit,,品種相談可,,,,,,,,,,,,,通年,,要確認,,,,,,,,,,,,中〜高
FRT088,株式会社アスク,冷凍フルーツ・OEM,オンライン,https://www.asc.co.jp/,,冷凍フルーツ・ダイスカット・チャンク・ピューレ・OEM,配送可,不可,フードサービス、PB/OEM、メーカー向け対応。,fruit,,商品次第,,,,,,,,,,,,,通年,,小分け/バルク可,,,,,,,,,,,,中〜高
FRT089,シモジマ MONIN,包材/業務用シロップEC,オンライン,https://shimojima.jp/shop/c/c25140401/,,MONIN業務用シロップ・包材,配送可,不可,シロップと包材を同時調達できる可能性あり。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
FRT090,第一エフ・エル,シロップ輸入販売EC,オンライン,https://www.daiichifl.com/,,Torani・DaVinci等シロップ,配送可,不可,トラーニ、ダヴィンチなどカフェ向けシロップ調達候補。,fruit,,,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中
COF001,株式会社蠣三珈琲,業務用コーヒー・食品卸,ローカル,https://kakisan.co.jp/company/,https://www.google.com/maps/search/?api=1&query=株式会社蠣三珈琲 高松市福岡町3丁目6番18号,ブレンド・ストレート,,,,coffee,,,ブレンド・ストレート / 自社焙煎,,,,,,,,,,,,ドリップ / デカフェ / ストロー対応 / おしぼり対応 / その他消耗品 / 開業支援:業務用コーヒー・外食用食品卸。昭和26年創業。,,,,,,,,,,,,,,
COF002,四国珈琲,業務用コーヒー・ロースター,ローカル,https://shikokucoffee.com/commercialcoffee/,https://www.google.com/maps/search/?api=1&query=四国珈琲 高松市,ブレンド・スペシャルティ,,,コーヒー豆卸、マシン提案、短期貸出対応。,coffee,,,ブレンド・スペシャルティ / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ / マシンレンタル / カップ対応 / ストロー対応 / その他消耗品 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF003,ダートコーヒー株式会社 四国,業務用コーヒー・食品卸,ローカル,,https://www.google.com/maps/search/?api=1&query=ダートコーヒー株式会社 香川県高松市国分寺町福家甲1268-17,ブレンド,,,,coffee,,,ブレンド / 焙煎加工,,,,,,,,,,,,ドリップ / デカフェ / ストロー対応 / おしぼり対応 / その他消耗品 / 開業支援:業務用食品・関連資材も取り扱い。,,,,,,,,,,,,,,
COF004,Sea-Coffee,自家焙煎ロースター,ローカル,https://sea-coffee.jp/,https://www.google.com/maps/search/?api=1&query=Sea-Coffee 高松市,スペシャルティ,,,卸販売・オリジナルブレンド相談可。,coffee,,,スペシャルティ / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF005,珈琲焙煎所ヤマコーヒー,自家焙煎ロースター,ローカル,https://www.nariai-yamacoffee.jp/,https://www.google.com/maps/search/?api=1&query=珈琲焙煎所ヤマコーヒー 高松市成合町1428-7,ブレンド・ストレート,,,注文後焙煎。,coffee,,,ブレンド・ストレート / 注文焙煎,,,,,,,,,,,,ドリップ / デカフェ,,,,,,,,,,,,,,
COF006,CORSICA COFFEE DEVELOPMENT,スペシャルティロースター,ローカル,https://corsicacoffee.net/,https://www.google.com/maps/search/?api=1&query=CORSICA COFFEE DEVELOPMENT 高松市,シングルオリジン,,,スペシャルティコーヒー専門。,coffee,,,シングルオリジン / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ,,,,,,,,,,,,,,
COF007,アロバー,スペシャルティロースター,ローカル,https://arovor.com/index.html,https://www.google.com/maps/search/?api=1&query=アロバー 高松市,スペシャルティ,,,1991年創業。,coffee,,,スペシャルティ / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ,,,,,,,,,,,,,,
COF008,豆丸珈琲 鍛冶屋町焙煎所,注文焙煎ロースター,ローカル,https://www.mamemaru-coffee.jp,https://www.google.com/maps/search/?api=1&query=豆丸珈琲 鍛冶屋町焙煎所 高松市鍛冶屋町,ブレンド・ストレート,,,生豆から選択可能。,coffee,,,ブレンド・ストレート / 注文焙煎,,,,,,,,,,,,ドリップ / デカフェ,,,,,,,,,,,,,,
COF009,珈琲鳴館,業務用コーヒー・開業支援,オンライン,https://coffeemeikan.jp/gyoumuyou/,https://www.google.com/maps/search/?api=1&query=珈琲鳴館,ブレンド,,,○ / 焙煎機レンタル・開業支援。,coffee,,,ブレンド / 焙煎,,,,,,,,,,,,ドリップ / デカフェ / カップ対応 / おしぼり対応 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF010,スギハラコーヒーロースター,業務用スペシャルティ,オンライン,https://sugihara-coffee.com/wholesale/,https://www.google.com/maps/search/?api=1&query=スギハラコーヒーロースター,スペシャルティ,,,○ / OEM・開業相談。,coffee,,,スペシャルティ / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ / カップ対応 / おしぼり対応 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF011,HIRO COFFEE,業務用コーヒー,オンライン,https://www.hirocoffee.co.jp/hiro/gyosha.php,https://www.google.com/maps/search/?api=1&query=HIRO COFFEE,スペシャルティ,,,○ / 抽出講習・ラテアート指導。,coffee,,,スペシャルティ / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ / カップ対応 / おしぼり対応 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF012,MUC COFFEE,業務用コーヒー・食品卸,オンライン,https://www.muc-coffee.co.jp/b_wholesale.html,https://www.google.com/maps/search/?api=1&query=MUC COFFEE,ブレンド,,,業務用食材・器具も販売。,coffee,,,ブレンド / 焙煎,,,,,,,,,,,,ドリップ / デカフェ / カップ対応 / おしぼり対応 / その他消耗品 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF013,齊藤コーヒー,業務用コーヒー・開業支援,オンライン,https://www.saitou-coffee.co.jp/support/,https://www.google.com/maps/search/?api=1&query=齊藤コーヒー,ブレンド・スペシャルティ,,,○ / 店舗プロデュース対応。,coffee,,,ブレンド・スペシャルティ / 焙煎,,,,,,,,,,,,ドリップ / デカフェ / カップ対応 / おしぼり対応 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
COF014,NOG COFFEE ROASTERS,スペシャルティロースター,オンライン,https://nogcoffeeroasters.com/pages/wholesale,https://www.google.com/maps/search/?api=1&query=NOG COFFEE ROASTERS,スペシャルティ,,,○ / スタッフトレーニング対応。,coffee,,,スペシャルティ / 自家焙煎,,,,,,,,,,,,ドリップ / デカフェ / カップ対応 / おしぼり対応 / 開業支援 / バリスタ研修,,,,,,,,,,,,,,
