supplier_id,source_category,name,type,local_or_online,address_candidate,latitude,longitude,official_url,google_maps_url,main_items,notes
FRT031,fruit,ギフトフルーツ ヤマネ,さぬき讃フルーツマスターショップ,ローカル,高松市兵庫町1-17,34.3449,134.0484,,https://www.google.com/maps/search/?api=1&query=ギフトフルーツ ヤマネ 高松市兵庫町1-17,県産果物・贈答用果物,高松市兵庫町1-17。電話087-851-3069。10:00-19:00、日曜・月曜定休。県公式では現在営業休止中。
FRT032,fruit,フルーツたかぎ 回生病院前店,さぬき讃フルーツマスターショップ,ローカル,坂出市旭町3-1-4,34.317156,133.862758,,https://www.google.com/maps/search/?api=1&query=フルーツたかぎ 回生病院前店 坂出市旭町3-1-4,県産果物・高品質フルーツ,坂出市旭町3-1-4。電話0877-46-0533。10:00-19:30、日祝19:00まで。不定休。
FRT033,fruit,高松三越 青果コーナー,百貨店青果,ローカル,高松市内町7-1,34.3444,134.0525,https://www.mitsukoshi.mistore.jp/takamatsu.html,https://www.google.com/maps/search/?api=1&query=高松三越 高松市内町7-1,さぬき讃フルーツ・高品質果物,高松市内町7-1。電話087-813-1034。10:00-19:00。不定休。高品質・贈答向き。
FRT034,fruit,いきいき産直 十河店,JA産直,ローカル,高松市十川西町298-1,34.2799,134.1001,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=いきいき産直 十河店 高松市十川西町298-1,地元野菜・果物,高松市十川西町298-1。電話087-848-4783。6:30-16:00、水曜定休、駐車場21台。
FRT035,fruit,いきいき産直 林店,JA産直,ローカル,高松市林町351-4,34.3042,134.0715,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=いきいき産直 林店 高松市林町351-4,地元野菜・果物,高松市林町351-4。電話087-865-5685。6:30-16:00、火曜定休、駐車場60台。
FRT036,fruit,グリーンピア岡本,JA産直,ローカル,高松市岡本町字幸ノ神944,34.2913,133.9942,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=グリーンピア岡本 高松市岡本町944,地元野菜・果物,高松市岡本町字幸ノ神944。電話087-885-6996。8:30-16:00、水曜定休、駐車場70台。
FRT037,fruit,中央ふれあい市場 本店,JA産直,ローカル,高松市太田上町315-1,34.2938,134.0477,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 本店 高松市太田上町315-1,地元野菜・果物,高松市太田上町315-1。電話087-815-5277。8:30-15:00、季節により変更あり。水曜定休、駐車場40台。
FRT038,fruit,中央ふれあい市場 古高松店,JA産直,ローカル,高松市高松町2170-1,34.3398,134.1137,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 古高松店 高松市高松町2170-1,地元野菜・果物,高松市高松町2170-1。電話087-841-1606。8:30-15:00、季節により変更あり。火曜定休、駐車場60台。
FRT039,fruit,中央ふれあい市場 木太店,JA産直,ローカル,高松市木太町1669,34.3247,134.0722,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 木太店 高松市木太町1669,地元野菜・果物,高松市木太町1669。電話080-2996-5641。9:00-15:00、営業日は火・金中心。
FRT040,fruit,国分寺ふれあい産直市,JA産直,ローカル,高松市国分寺町新名744-1,34.3019,133.9566,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=国分寺ふれあい産直市 高松市国分寺町新名744-1,地元野菜・果物,高松市国分寺町新名744-1。電話087-874-1224。8:30-16:00、火曜定休、駐車場25台。
FRT041,fruit,三木とれとれ市,JA産直,ローカル,木田郡三木町大字氷上364-1,34.2705,134.1341,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=三木とれとれ市 木田郡三木町氷上364-1,地元野菜・果物,木田郡三木町大字氷上364-1。電話087-891-1023。8:00-15:00、水曜定休、駐車場30台。高松東部から利用候補。
FRT042,fruit,ファーマーズマーケット讃さん広場 滝宮店,JA大型産直,ローカル,綾歌郡綾川町滝宮1578,34.2513,133.9239,https://www.kw-ja.or.jp/,https://www.google.com/maps/search/?api=1&query=讃さん広場 滝宮店 綾川町滝宮1578,県内産野菜・果物・加工品,綾歌郡綾川町滝宮1578。電話087-876-6333。9:00-17:00、火曜定休、普通車150台。大型産直。
FRT043,fruit,河村食品マート,業務配送青果,ローカル,高松市西ハゼ町27-2,34.3191,134.0271,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=河村食品マート 高松市西ハゼ町27-2,野菜・果物・乾物,高松市西ハゼ町27-2。電話087-865-6823。野菜・果物・乾物などの業務用配達。配達エリアは電話相談。
FRT044,fruit,株式会社グリーンアップル,業務用青果卸,ローカル,高松市栗林町1-5-7,34.3317,134.0463,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社グリーンアップル 高松市栗林町1-5-7,青果物,高松市栗林町1-5-7。電話087-831-4632。外食産業向け青果候補。
FRT045,fruit,株式会社香川商事,青果卸・小売,ローカル,高松市瓦町2-9-8,34.325268,134.062906,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社香川商事 高松市瓦町2-9-8,野菜・果物,高松市瓦町2-9-8。電話087-831-2919。業務用青果・卸・小売。
FRT046,fruit,久保田商店,青果店・納品対応,ローカル,高松市扇町1-23-12,34.3442,134.0375,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=久保田商店 高松市扇町1-23-12,野菜・果物,高松市扇町1-23-12。電話087-821-5607。納め・地方配送あり。
FRT047,fruit,森政商店,青果店・卸売小売配達,ローカル,高松市上福岡町1280-1,34.3302,134.0642,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=森政商店 高松市上福岡町1280-1,野菜・果物,高松市上福岡町1280-1。電話087-861-7340。卸売・小売・配達あり。
FRT048,fruit,有限会社イズミ,青果・食品配達,ローカル,綾歌郡綾川町羽床上2624-5,34.2385,133.9469,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=有限会社イズミ 綾歌郡綾川町羽床上2624-5,野菜・果物・食料品,綾歌郡綾川町羽床上2624-5。電話087-870-9190。野菜・果物・食料品・業務用配達。
FRT049,fruit,有限会社中美商店,食品店・配送対応,ローカル,高松市香西本町545,34.3485,134.0027,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=有限会社中美商店 高松市香西本町545,野菜・果物・一般食品,高松市香西本町545。電話087-882-0805。電話注文・配送対応。6:30-20:00、日曜定休。
FRT050,fruit,株式会社丸新果物商店,果物店・カフェ併設系,ローカル,高松市常磐町1-4-9,34.3387,134.052,https://www.t0831.net/memberlist.html,https://www.google.com/maps/search/?api=1&query=株式会社丸新果物商店 高松市常磐町1-4-9,果物・生ジュース・ジェラート・サンドイッチ,高松市常磐町1-4-9。電話087-861-5353。果物を使ったカフェテリア型販売の記載あり。
COF001,coffee,株式会社蠣三珈琲,業務用コーヒー・食品卸,ローカル,株式会社蠣三珈琲 高松市福岡町3丁目6番18号,34.3441,134.0718,https://kakisan.co.jp/company/,https://www.google.com/maps/search/?api=1&query=株式会社蠣三珈琲 高松市福岡町3丁目6番18号,ブレンド・ストレート,
COF002,coffee,四国珈琲,業務用コーヒー・ロースター,ローカル,四国珈琲 高松市,34.3089,134.0751,https://shikokucoffee.com/commercialcoffee/,https://www.google.com/maps/search/?api=1&query=四国珈琲 高松市,ブレンド・スペシャルティ,コーヒー豆卸、マシン提案、短期貸出対応。
COF003,coffee,ダートコーヒー株式会社 四国,業務用コーヒー・食品卸,ローカル,ダートコーヒー株式会社 香川県高松市国分寺町福家甲1268-17,34.2862,133.9685,,https://www.google.com/maps/search/?api=1&query=ダートコーヒー株式会社 香川県高松市国分寺町福家甲1268-17,ブレンド,
COF004,coffee,Sea-Coffee,自家焙煎ロースター,ローカル,Sea-Coffee 高松市,34.342,134.05,https://sea-coffee.jp/,https://www.google.com/maps/search/?api=1&query=Sea-Coffee 高松市,スペシャルティ,卸販売・オリジナルブレンド相談可。
COF005,coffee,珈琲焙煎所ヤマコーヒー,自家焙煎ロースター,ローカル,珈琲焙煎所ヤマコーヒー 高松市成合町1428-7,34.3026,134.0115,https://www.nariai-yamacoffee.jp/,https://www.google.com/maps/search/?api=1&query=珈琲焙煎所ヤマコーヒー 高松市成合町1428-7,ブレンド・ストレート,注文後焙煎。
COF006,coffee,CORSICA COFFEE DEVELOPMENT,スペシャルティロースター,ローカル,CORSICA COFFEE DEVELOPMENT 高松市,34.3356,134.0464,https://corsicacoffee.net/,https://www.google.com/maps/search/?api=1&query=CORSICA COFFEE DEVELOPMENT 高松市,シングルオリジン,スペシャルティコーヒー専門。
COF007,coffee,アロバー,スペシャルティロースター,ローカル,アロバー 高松市,34.3049,134.0695,https://arovor.com/index.html,https://www.google.com/maps/search/?api=1&query=アロバー 高松市,スペシャルティ,1991年創業。
COF008,coffee,豆丸珈琲 鍛冶屋町焙煎所,注文焙煎ロースター,ローカル,豆丸珈琲 鍛冶屋町焙煎所 高松市鍛冶屋町,34.342968,134.049262,https://www.mamemaru-coffee.jp,https://www.google.com/maps/search/?api=1&query=豆丸珈琲 鍛冶屋町焙煎所 高松市鍛冶屋町,ブレンド・ストレート,生豆から選択可能。
MAT006,materials,四国乳業,乳製品メーカー,ローカル,四国乳業株式会社,33.803,132.79,https://www.rakuren.co.jp/,https://www.google.com/maps/search/?api=1&query=四国乳業株式会社,牛乳・ヨーグルト・乳飲料,らくれんブランド。
ICE001,ice,小久保製氷冷蔵株式会社,製氷会社,ローカル,香川県内配送,35.725,140.122,https://www.kokuboice.co.jp/,https://www.google.com/maps/search/?api=1&query=小久保製氷冷蔵株式会社 高松市,ロックアイス・クラッシュアイス・角氷・業務用氷,香川県内配送。飲食店・ホテル・イベント向け。
ICE002,ice,株式会社小久保製氷冷蔵 ロックアイス事業,製氷会社,ローカル,小久保製氷冷蔵株式会社,35.725,140.122,https://www.kokuboice.co.jp/,https://www.google.com/maps/search/?api=1&query=小久保製氷冷蔵株式会社,業務用ロックアイス,高松エリア対応。
ICE003,ice,小久保製氷冷蔵 クラッシュアイス,製氷会社,ローカル,小久保製氷冷蔵株式会社,35.725,140.122,https://www.kokuboice.co.jp/,https://www.google.com/maps/search/?api=1&query=小久保製氷冷蔵株式会社,クラッシュアイス,スムージー・ドリンク向け。
ICE005,ice,小久保製氷冷蔵 ドライアイス,製氷会社,ローカル,小久保製氷冷蔵株式会社,35.725,140.122,https://www.kokuboice.co.jp/,https://www.google.com/maps/search/?api=1&query=小久保製氷冷蔵株式会社,ドライアイス,保冷用途。
ICE015,ice,ホシザキ四国株式会社,厨房機器,ローカル,ホシザキ四国株式会社 高松市,34.319,134.062,https://www.hoshizaki.co.jp/,https://www.google.com/maps/search/?api=1&query=ホシザキ四国株式会社 高松市,製氷機・保守,導入・保守対応。
